"No.","Time","Source","Destination","Protocol","Length","Info"
"1078","91.068174","157.240.195.54","10.0.0.6","TCP","373","5222  >  56478 [PSH, ACK] Seq=24308 Ack=758 Win=3576 Len=319 [TCP segment of a reassembled PDU]"
"1079","91.068278","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=822 Ack=24627 Win=516 Len=0"
"1080","91.085050","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=24627 Ack=822 Win=3576 Len=0"
"1082","91.177284","10.0.0.6","157.240.195.54","TCP","117","56478  >  5222 [PSH, ACK] Seq=822 Ack=24627 Win=516 Len=63 [TCP segment of a reassembled PDU]"
"1083","91.230162","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=24627 Ack=885 Win=3576 Len=0"
"1173","104.114225","157.240.195.54","10.0.0.6","TCP","118","5222  >  56478 [PSH, ACK] Seq=24627 Ack=885 Win=3576 Len=64 [TCP segment of a reassembled PDU]"
"1174","104.116880","10.0.0.6","157.240.195.54","TCP","100","56478  >  5222 [PSH, ACK] Seq=885 Ack=24691 Win=516 Len=46 [TCP segment of a reassembled PDU]"
"1175","104.169635","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=24691 Ack=931 Win=3576 Len=0"
"4868","114.200606","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=24691 Ack=931 Win=3576 Len=1392 [TCP segment of a reassembled PDU]"
"4869","114.200606","157.240.195.54","10.0.0.6","TCP","153","5222  >  56478 [PSH, ACK] Seq=26083 Ack=931 Win=3576 Len=99 [TCP segment of a reassembled PDU]"
"4870","114.200708","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=931 Ack=26182 Win=516 Len=0"
"4871","114.202265","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=26182 Ack=931 Win=3576 Len=1392 [TCP segment of a reassembled PDU]"
"4872","114.202265","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=27574 Ack=931 Win=3576 Len=108 [TCP segment of a reassembled PDU]"
"4873","114.202265","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=27682 Ack=931 Win=3576 Len=1392 [TCP segment of a reassembled PDU]"
"4874","114.202265","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=29074 Ack=931 Win=3576 Len=108 [TCP segment of a reassembled PDU]"
"4875","114.202324","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=931 Ack=29182 Win=516 Len=0"
"4876","114.203557","157.240.195.54","10.0.0.6","TCP","1149","5222  >  56478 [PSH, ACK] Seq=29182 Ack=931 Win=3576 Len=1095 [TCP segment of a reassembled PDU]"
"4877","114.215431","10.0.0.6","157.240.195.54","TCP","117","56478  >  5222 [PSH, ACK] Seq=931 Ack=30277 Win=512 Len=63 [TCP segment of a reassembled PDU]"
"4879","114.269430","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=30277 Ack=994 Win=3576 Len=0"
"4883","114.525952","10.0.0.6","157.240.195.54","TCP","95","56478  >  5222 [PSH, ACK] Seq=994 Ack=30277 Win=512 Len=41 [TCP segment of a reassembled PDU]"
"4886","114.579234","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=30277 Ack=1035 Win=3576 Len=0"
"4888","114.674776","157.240.195.54","10.0.0.6","TCP","1283","5222  >  56478 [PSH, ACK] Seq=30277 Ack=1035 Win=3576 Len=1229 [TCP segment of a reassembled PDU]"
"4899","114.730654","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=1035 Ack=31506 Win=516 Len=0"
"8265","120.843609","157.240.195.54","10.0.0.6","TCP","249","5222  >  56478 [PSH, ACK] Seq=31506 Ack=1035 Win=3576 Len=195 [TCP segment of a reassembled PDU]"
"8266","120.851339","10.0.0.6","157.240.195.54","TCP","100","56478  >  5222 [PSH, ACK] Seq=1035 Ack=31701 Win=515 Len=46 [TCP segment of a reassembled PDU]"
"8267","120.903748","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=31701 Ack=1081 Win=3576 Len=0"
"8272","121.495633","157.240.195.54","10.0.0.6","TCP","694","5222  >  56478 [PSH, ACK] Seq=31701 Ack=1081 Win=3576 Len=640 [TCP segment of a reassembled PDU]"
"8273","121.510539","10.0.0.6","157.240.195.54","TCP","117","56478  >  5222 [PSH, ACK] Seq=1081 Ack=32341 Win=513 Len=63 [TCP segment of a reassembled PDU]"
"8275","121.563631","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=32341 Ack=1144 Win=3576 Len=0"
"8290","123.884088","157.240.195.54","10.0.0.6","TCP","369","5222  >  56478 [PSH, ACK] Seq=32341 Ack=1144 Win=3576 Len=315 [TCP segment of a reassembled PDU]"
"8291","123.900527","10.0.0.6","157.240.195.54","TCP","118","56478  >  5222 [PSH, ACK] Seq=1144 Ack=32656 Win=512 Len=64 [TCP segment of a reassembled PDU]"
"8292","123.954228","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=32656 Ack=1208 Win=3576 Len=0"
"8344","130.553019","157.240.195.54","10.0.0.6","TCP","304","5222  >  56478 [PSH, ACK] Seq=32656 Ack=1208 Win=3576 Len=250 [TCP segment of a reassembled PDU]"
"8345","130.567637","10.0.0.6","157.240.195.54","TCP","118","56478  >  5222 [PSH, ACK] Seq=1208 Ack=32906 Win=516 Len=64 [TCP segment of a reassembled PDU]"
"8346","130.620125","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=32906 Ack=1272 Win=3576 Len=0"
"8453","137.088389","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=32906 Ack=1272 Win=3576 Len=1392 [TCP segment of a reassembled PDU]"
"8454","137.088389","157.240.195.54","10.0.0.6","TCP","153","5222  >  56478 [PSH, ACK] Seq=34298 Ack=1272 Win=3576 Len=99 [TCP segment of a reassembled PDU]"
"8455","137.088475","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=1272 Ack=34397 Win=516 Len=0"
"8456","137.090070","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=34397 Ack=1272 Win=3576 Len=1392 [TCP segment of a reassembled PDU]"
"8457","137.090070","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=35789 Ack=1272 Win=3576 Len=108 [TCP segment of a reassembled PDU]"
"8458","137.090088","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=1272 Ack=35897 Win=516 Len=0"
"8459","137.090809","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=35897 Ack=1272 Win=3576 Len=1392 [TCP segment of a reassembled PDU]"
"8460","137.090809","157.240.195.54","10.0.0.6","TCP","162","5222  >  56478 [PSH, ACK] Seq=37289 Ack=1272 Win=3576 Len=108 [TCP segment of a reassembled PDU]"
"8461","137.090829","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=1272 Ack=37397 Win=516 Len=0"
"8462","137.093372","157.240.195.54","10.0.0.6","TCP","1446","5222  >  56478 [ACK] Seq=37397 Ack=1272 Win=3576 Len=1392 [TCP segment of a reassembled PDU]"
"8463","137.093372","157.240.195.54","10.0.0.6","TCP","315","5222  >  56478 [PSH, ACK] Seq=38789 Ack=1272 Win=3576 Len=261 [TCP segment of a reassembled PDU]"
"8464","137.093424","10.0.0.6","157.240.195.54","TCP","54","56478  >  5222 [ACK] Seq=1272 Ack=39050 Win=516 Len=0"
"8465","137.094492","157.240.195.54","10.0.0.6","TCP","312","5222  >  56478 [PSH, ACK] Seq=39050 Ack=1272 Win=3576 Len=258 [TCP segment of a reassembled PDU]"
"8466","137.105299","10.0.0.6","157.240.195.54","TCP","117","56478  >  5222 [PSH, ACK] Seq=1272 Ack=39308 Win=515 Len=63 [TCP segment of a reassembled PDU]"
"8468","137.166963","157.240.195.54","10.0.0.6","TCP","54","5222  >  56478 [ACK] Seq=39308 Ack=1335 Win=3576 Len=0"
